quiz_type,days_in,cleaned_label,timestamp_start,duration,reserved,subscore,final_score,ways_accept_resp,ways_confrontive,ways_distancing,ways_escape,ways_problem_solving,ways_positive_reappraisal,ways_seeking_social_support,ways_self_controlling,user_id,quiz_id,interruption_duration,max_value_possible,min_value_possible,number_of_pages
"The Ways of Coping",0,pre_study,1603209804126,11.313066666666666,NULL,"Accepting responsibility: 10
Confrontive Coping: 10
Distancing: 9
Escape-Avoidance: 12
Positive reappraisal: 3
Planful problem-solving: 8
Seeking social support: 13
Self-controlling: 6
",96,10,10,9,12,8,3,13,6,e3a26d78040fdd1c21548aea9a11146384797af05352aa8fdba0d98cc38793c2,1vi46f5as7,0,198,0,10
"The Ways of Coping",0,pre_study,1605017704828,8.7733,NULL,"Accepting responsibility: 4
Confrontive Coping: 10
Distancing: 3
Escape-Avoidance: 11
Positive reappraisal: 7
Planful problem-solving: 10
Seeking social support: 10
Self-controlling: 6
",89,4,10,3,11,10,7,10,6,364d29c547f802dd30fa3d90d4c3fc38ad4e0eb7725920ad11de2dd2f321fbbc,w67fw86uk6,0,198,0,10
"The Ways of Coping",0,pre_study,1605039154811,8.72825,NULL,"Accepting responsibility: 6
Confrontive Coping: 1
Distancing: 11
Escape-Avoidance: 5
Positive reappraisal: 6
Planful problem-solving: 6
Seeking social support: 3
Self-controlling: 6
",63,6,1,11,5,6,6,3,6,7bd9b8042f579eabbaf94b97fb6108f83dd04cc2c2be23f378d5266f96f7cf34,mkaup4pb92,0,198,0,10
"The Ways of Coping",0,pre_study,1605043524437,7.971983333333333,NULL,"Accepting responsibility: 9
Confrontive Coping: 6
Distancing: 4
Escape-Avoidance: 14
Positive reappraisal: 0
Planful problem-solving: 6
Seeking social support: 8
Self-controlling: 12
",83,9,6,4,14,6,0,8,12,f546e459d1c8129b086d3269d46a3d1ccdfe443c507849f0144df3f2cb51dc9d,lkhze3n5nn,0,198,0,10
"The Ways of Coping",0,pre_study,1605077542212,7.322516666666667,NULL,"Accepting responsibility: 6
Confrontive Coping: 8
Distancing: 5
Escape-Avoidance: 14
Positive reappraisal: 4
Planful problem-solving: 7
Seeking social support: 10
Self-controlling: 8
",86,6,8,5,14,7,4,10,8,636a98901870a95c0390a6ae50b5d8d14391adfde9710295be604f142663110b,cvzufuxthk,0,198,0,10
"The Ways of Coping",0,pre_study,1605078300104,8.14805,NULL,"Accepting responsibility: 8
Confrontive Coping: 6
Distancing: 5
Escape-Avoidance: 9
Positive reappraisal: 6
Planful problem-solving: 11
Seeking social support: 5
Self-controlling: 9
",83,8,6,5,9,11,6,5,9,70747b9457abb021ed6e9c7cf55704c734d223c871d47c83d88a3585af57a304,jp1va2iomb,0,198,0,10
"The Ways of Coping",0,pre_study,1605081166301,4.86585,NULL,"Accepting responsibility: 3
Confrontive Coping: 6
Distancing: 17
Escape-Avoidance: 15
Positive reappraisal: 2
Planful problem-solving: 7
Seeking social support: 7
Self-controlling: 7
",95,3,6,17,15,7,2,7,7,3253a896582abd053e0df783428e0e8282feaddba5f468b6c3e138878c9244ef,3ukddabafo,0,198,0,10
"The Ways of Coping",0,pre_study,1605083557224,9.40765,NULL,"Accepting responsibility: 8
Confrontive Coping: 9
Distancing: 7
Escape-Avoidance: 4
Positive reappraisal: 6
Planful problem-solving: 17
Seeking social support: 13
Self-controlling: 3
",92,8,9,7,4,17,6,13,3,597d0134a8a76a25f95efcaa0f3fdaaaa6ee168f58acd392bfb28f64d876e355,2okd9q2t28,0,198,0,10
"The Ways of Coping",0,pre_study,1605083823985,10.68355,NULL,"Accepting responsibility: 1
Confrontive Coping: 4
Distancing: 5
Escape-Avoidance: 2
Positive reappraisal: 7
Planful problem-solving: 2
Seeking social support: 6
Self-controlling: 5
",46,1,4,5,2,2,7,6,5,274c9bc2b0268c584c1a82b3202f4dc5cd1ead0666c9214248ad7132572f78f0,ayqmpyeir4,179783,198,0,10
"The Ways of Coping",0,pre_study,1605086544709,12.14,NULL,"Accepting responsibility: 5
Confrontive Coping: 5
Distancing: 3
Escape-Avoidance: 3
Positive reappraisal: 12
Planful problem-solving: 12
Seeking social support: 16
Self-controlling: 8
",86,5,5,3,3,12,12,16,8,2419e0cbed70dbb581c2f6f2d02d69da502af4b49b54313999290398b0bbddd9,kjuhn4yilm,0,198,0,10
"The Ways of Coping",0,pre_study,1605125989176,20.6876,NULL,"Accepting responsibility: 3
Confrontive Coping: 2
Distancing: 4
Escape-Avoidance: 6
Positive reappraisal: 1
Planful problem-solving: 8
Seeking social support: 5
Self-controlling: 10
",59,3,2,4,6,8,1,5,10,a78ebd3ddcce94a0c79402975075f104f703c0bf2cbf6a8cfaa29a44f71c7389,9aqfl5wysx,623017,198,0,10
"The Ways of Coping",0,pre_study,1605177885799,32.20668333333333,NULL,"Accepting responsibility: 2
Confrontive Coping: 5
Distancing: 6
Escape-Avoidance: 9
Positive reappraisal: 1
Planful problem-solving: 4
Seeking social support: 2
Self-controlling: 12
",67,2,5,6,9,4,1,2,12,4372885e53fe4babaaf52c55680dfb2e02508e361576a31e11f96e252a473e6d,8wsb36btjq,1002194,198,0,10
"The Ways of Coping",0,pre_study,1605188454636,11.73345,NULL,"Accepting responsibility: 4
Confrontive Coping: 9
Distancing: 4
Escape-Avoidance: 7
Positive reappraisal: 12
Planful problem-solving: 12
Seeking social support: 13
Self-controlling: 5
",88,4,9,4,7,12,12,13,5,884dd666d02cc41317e83ad80a9399e7523d286671dfd9338bf882ab282b1c33,m07u7m1jsx,612229,198,0,10
"The Ways of Coping",0,pre_study,1605188341967,15.931516666666667,NULL,"Accepting responsibility: 4
Confrontive Coping: 10
Distancing: 2
Escape-Avoidance: 9
Positive reappraisal: 4
Planful problem-solving: 9
Seeking social support: 7
Self-controlling: 5
",70,4,10,2,9,9,4,7,5,bdd365074697452cc0cb19ab935c17429dafb267e9312212a1c8574b88e5959a,crkxg4thep,0,198,0,10
"The Ways of Coping",0,pre_study,1605190086949,6.6962,NULL,"Accepting responsibility: 2
Confrontive Coping: 8
Distancing: 9
Escape-Avoidance: 10
Positive reappraisal: 5
Planful problem-solving: 12
Seeking social support: 7
Self-controlling: 7
",80,2,8,9,10,12,5,7,7,79fd91cc71cdced029237e4349c9f104eee1f917fbb9ec2342b030286a5d42b8,znsi240w07,0,198,0,10
"The Ways of Coping",0,pre_study,1605189946133,9.463766666666666,NULL,"Accepting responsibility: 1
Confrontive Coping: 3
Distancing: 2
Escape-Avoidance: 5
Positive reappraisal: 2
Planful problem-solving: 2
Seeking social support: 4
Self-controlling: 6
",39,1,3,2,5,2,2,4,6,617d1e0abb918a1bc38469d2ad2c1b0aaf68476f0d0ea59c310feb1332297530,9ky35dteyw,0,198,0,10
"The Ways of Coping",0,pre_study,1605191055773,17.427016666666667,NULL,"Accepting responsibility: 6
Confrontive Coping: 4
Distancing: 10
Escape-Avoidance: 10
Positive reappraisal: 3
Planful problem-solving: 2
Seeking social support: 6
Self-controlling: 7
",68,6,4,10,10,2,3,6,7,42fe178c4d1edfec5b018073ec464076b3146a9addf550c87559e00f0b679eca,3an8hxq6zc,0,198,0,10
"The Ways of Coping",0,pre_study,1605192441997,14.877433333333334,NULL,"Accepting responsibility: 3
Confrontive Coping: 5
Distancing: 3
Escape-Avoidance: 4
Positive reappraisal: 11
Planful problem-solving: 10
Seeking social support: 12
Self-controlling: 6
",71,3,5,3,4,10,11,12,6,7eed43b18a2b5b52271e840b42fe753e39f2cafdb41e36f6eb85eb9a9d87be01,bqydqqpjim,29866,198,0,10
"The Ways of Coping",0,pre_study,1605198782711,9.890883333333333,NULL,"Accepting responsibility: 4
Confrontive Coping: 13
Distancing: 6
Escape-Avoidance: 7
Positive reappraisal: 5
Planful problem-solving: 4
Seeking social support: 12
Self-controlling: 5
",74,4,13,6,7,4,5,12,5,2609c20b1dd83d22565726ed1c4551f9d99c7e06566550767f6fddd33beb7990,25l8jv1n93,0,198,0,10
"The Ways of Coping",0,pre_study,1605214207880,12.926366666666667,NULL,"Accepting responsibility: 2
Confrontive Coping: 5
Distancing: 6
Escape-Avoidance: 8
Positive reappraisal: 0
Planful problem-solving: 4
Seeking social support: 3
Self-controlling: 4
",47,2,5,6,8,4,0,3,4,fde936d0d7842b02491b0466c62d00232e0a6019c1c5380d4cf5b9e145df5c83,cgfx1d4afj,8759,198,0,10
"The Ways of Coping",0,pre_study,1605215940725,3.371583333333333,NULL,"Accepting responsibility: 5
Confrontive Coping: 16
Distancing: 13
Escape-Avoidance: 16
Positive reappraisal: 13
Planful problem-solving: 15
Seeking social support: 15
Self-controlling: 11
",136,5,16,13,16,15,13,15,11,6ace27322d947d74194bfb2f2040e5a76f4c80aa3d5e486a2a44c3d8fcf39791,gu5cda7y5s,0,198,0,10
"The Ways of Coping",0,pre_study,1605215193317,27.431433333333334,NULL,"Accepting responsibility: 3
Confrontive Coping: 6
Distancing: 8
Escape-Avoidance: 9
Positive reappraisal: 2
Planful problem-solving: 11
Seeking social support: 9
Self-controlling: 12
",86,3,6,8,9,11,2,9,12,501f3802687e4ef343d37eda350d12bc4bff3ce72958ab0e2b1c7620b5fc4a5a,pliwqj00i1,0,198,0,10
"The Ways of Coping",0,pre_study,1605216475552,7.1086833333333335,NULL,"Accepting responsibility: 7
Confrontive Coping: 7
Distancing: 2
Escape-Avoidance: 5
Positive reappraisal: 7
Planful problem-solving: 5
Seeking social support: 10
Self-controlling: 4
",59,7,7,2,5,5,7,10,4,ec1637e16192b901c6fbb08658a39f56316b373ed002c733c090871af73850d2,u357h4yue6,0,198,0,10
"The Ways of Coping",0,pre_study,1605216357240,13.151816666666667,NULL,"Accepting responsibility: 2
Confrontive Coping: 10
Distancing: 1
Escape-Avoidance: 8
Positive reappraisal: 7
Planful problem-solving: 11
Seeking social support: 6
Self-controlling: 6
",75,2,10,1,8,11,7,6,6,3dfda6ae21c055ad3651c254789727e68b3044001b9eceae70e2412b66ac01b1,j2ex8n9x8m,0,198,0,10
"The Ways of Coping",0,pre_study,1605218903767,8.72085,NULL,"Accepting responsibility: 3
Confrontive Coping: 8
Distancing: 5
Escape-Avoidance: 12
Positive reappraisal: 5
Planful problem-solving: 6
Seeking social support: 4
Self-controlling: 8
",74,3,8,5,12,6,5,4,8,bb933716898ee101fc16026f793179bebf451e57cf0e05095fe77b11e33bd982,mcm84lzz3q,0,198,0,10
"The Ways of Coping",0,pre_study,1605219046126,6.3304833333333335,NULL,"Accepting responsibility: 5
Confrontive Coping: 7
Distancing: 9
Escape-Avoidance: 8
Positive reappraisal: 9
Planful problem-solving: 15
Seeking social support: 14
Self-controlling: 9
",99,5,7,9,8,15,9,14,9,e9a26bfab4f3cb5fb0095e230eaa5522fdd7f454b4f4a74c38c3be247aff0e08,bapzu01jjb,0,198,0,10
"The Ways of Coping",0,pre_study,1605219583614,9.9706,NULL,"Accepting responsibility: 6
Confrontive Coping: 6
Distancing: 3
Escape-Avoidance: 0
Positive reappraisal: 8
Planful problem-solving: 9
Seeking social support: 11
Self-controlling: 5
",66,6,6,3,0,9,8,11,5,549cc55833a932c3abc1cdd78e050dfebf5d16aef82686edcda780f5e5192cec,a6jpmsv9p0,0,198,0,10
"The Ways of Coping",0,pre_study,1605223515976,7.054266666666667,NULL,"Accepting responsibility: 8
Confrontive Coping: 4
Distancing: 7
Escape-Avoidance: 9
Positive reappraisal: 4
Planful problem-solving: 7
Seeking social support: 5
Self-controlling: 12
",81,8,4,7,9,7,4,5,12,da0886c3de6e436afee84c2a1d20ff0b3967f953d992bdf194ca9d9d7f2fdd0f,x12sfl57gx,35918,198,0,10
"The Ways of Coping",0,pre_study,1605226703295,6.38375,NULL,"Accepting responsibility: 7
Confrontive Coping: 8
Distancing: 7
Escape-Avoidance: 10
Positive reappraisal: 8
Planful problem-solving: 6
Seeking social support: 8
Self-controlling: 9
",83,7,8,7,10,6,8,8,9,f64365ca2ca87a0699d3fc52254f869f2d326e00989506815f307b6fb437a624,ixzavaknjf,0,198,0,10
"The Ways of Coping",0,pre_study,1605241362379,6.700066666666666,NULL,"Accepting responsibility: 5
Confrontive Coping: 6
Distancing: 6
Escape-Avoidance: 8
Positive reappraisal: 8
Planful problem-solving: 6
Seeking social support: 6
Self-controlling: 6
",73,5,6,6,8,6,8,6,6,fd6be78d473b4b1a26c1cc8014a73a8764f9b6f033e95321ab5be17305ff8934,8lryg62z4y,1104049,198,0,10
"The Ways of Coping",0,pre_study,1605243629867,10.7772,NULL,"Accepting responsibility: 3
Confrontive Coping: 3
Distancing: 6
Escape-Avoidance: 9
Positive reappraisal: 2
Planful problem-solving: 6
Seeking social support: 5
Self-controlling: 10
",66,3,3,6,9,6,2,5,10,8c337ddb22bf1e4db032f1b2a38c2c60e6ac751fefade3fb883de3104843ea15,o2g2u6gxm5,3882,198,0,10
"The Ways of Coping",0,pre_study,1605251086125,8.945866666666667,NULL,"Accepting responsibility: 1
Confrontive Coping: 7
Distancing: 5
Escape-Avoidance: 6
Positive reappraisal: 5
Planful problem-solving: 5
Seeking social support: 6
Self-controlling: 7
",60,1,7,5,6,5,5,6,7,f56823eecc3230eeb52b21e4f812a8168b7a842c83af4ecfbc25e2a69e4cff0c,cfle839maz,0,198,0,10
"The Ways of Coping",0,pre_study,1605252368969,4.770716666666667,NULL,"Accepting responsibility: 10
Confrontive Coping: 12
Distancing: 9
Escape-Avoidance: 13
Positive reappraisal: 10
Planful problem-solving: 14
Seeking social support: 11
Self-controlling: 13
",121,10,12,9,13,14,10,11,13,d0aa10f2adb7f9fc6d477df3fd3949dcb07e9cc81dd1374760a85ac8a85d7183,m21ydu6r0d,0,198,0,10
"The Ways of Coping",0,pre_study,1605258473136,10.2976,NULL,"Accepting responsibility: 3
Confrontive Coping: 4
Distancing: 2
Escape-Avoidance: 1
Positive reappraisal: 2
Planful problem-solving: 9
Seeking social support: 3
Self-controlling: 4
",44,3,4,2,1,9,2,3,4,0dbc15d2f390c187c16e60d92732acaab737d02e8e12b7a2a5d0530d2fb98a6a,ehap08j1l4,4236,198,0,10
"The Ways of Coping",0,pre_study,1605255170518,75.5147,NULL,"Accepting responsibility: 6
Confrontive Coping: 4
Distancing: 6
Escape-Avoidance: 3
Positive reappraisal: 6
Planful problem-solving: 10
Seeking social support: 6
Self-controlling: 6
",62,6,4,6,3,10,6,6,6,ca355aa83670f4585ad665f2a0c933ff1582100bc7804f2e708f6c4dba948522,0npn7j3pmq,10819619,198,0,10
"The Ways of Coping",0,pre_study,1605258643378,18.078133333333334,NULL,"Accepting responsibility: 2
Confrontive Coping: 6
Distancing: 8
Escape-Avoidance: 5
Positive reappraisal: 10
Planful problem-solving: 8
Seeking social support: 8
Self-controlling: 11
",81,2,6,8,5,8,10,8,11,57aa6ba3c9cadf164d01f590c0131df6a79823806841db4dfd7330dc2a7a3f1b,iqvaqj4g8v,582456,198,0,10
"The Ways of Coping",0,pre_study,1605259652612,7.4790833333333335,NULL,"Accepting responsibility: 3
Confrontive Coping: 7
Distancing: 4
Escape-Avoidance: 9
Positive reappraisal: 3
Planful problem-solving: 6
Seeking social support: 7
Self-controlling: 5
",68,3,7,4,9,6,3,7,5,4441d6f8fde5b46b741b5bab1d35579e73ba94d1f734dfaba0c5e03b55b479e5,506oz163dg,0,198,0,10
"The Ways of Coping",0,pre_study,1605261542116,7.534983333333333,NULL,"Accepting responsibility: 5
Confrontive Coping: 8
Distancing: 7
Escape-Avoidance: 7
Positive reappraisal: 6
Planful problem-solving: 8
Seeking social support: 6
Self-controlling: 9
",69,5,8,7,7,8,6,6,9,b818ce8080464ad040e23b036fb9f229e05cd6b53c9a7c7beb5fb64ce9cc57f4,147zjoeqq0,0,198,0,10
"The Ways of Coping",0,pre_study,1605261915734,10.002216666666667,NULL,"Accepting responsibility: 7
Confrontive Coping: 7
Distancing: 6
Escape-Avoidance: 3
Positive reappraisal: 3
Planful problem-solving: 2
Seeking social support: 11
Self-controlling: 1
",59,7,7,6,3,2,3,11,1,3fbf728db8ecc9e4b8454d7709fae4020c6ff8b37d120e1b2b3edf6a8469af44,8nxov3nbnx,0,198,0,10
"The Ways of Coping",0,pre_study,1605263323440,10.90445,NULL,"Accepting responsibility: 3
Confrontive Coping: 3
Distancing: 2
Escape-Avoidance: 4
Positive reappraisal: 2
Planful problem-solving: 2
Seeking social support: 2
Self-controlling: 7
",37,3,3,2,4,2,2,2,7,28495c5a6ee05913c328023dea0dec60a4bb22ad96dfc368d6c0b558a294b8f0,hvllqrejld,0,198,0,10
"The Ways of Coping",0,pre_study,1605265706476,19.202416666666668,NULL,"Accepting responsibility: 4
Confrontive Coping: 7
Distancing: 4
Escape-Avoidance: 4
Positive reappraisal: 7
Planful problem-solving: 10
Seeking social support: 8
Self-controlling: 10
",82,4,7,4,4,10,7,8,10,b2028a430471f6d22b8a6ef92a43feb1e0ed1a1bc258348179e0c0e312e7255c,syjagjjhud,131954,198,0,10
"The Ways of Coping",0,pre_study,1605278814695,20.742766666666668,NULL,"Accepting responsibility: 2
Confrontive Coping: 4
Distancing: 2
Escape-Avoidance: 2
Positive reappraisal: 10
Planful problem-solving: 9
Seeking social support: 5
Self-controlling: 5
",47,2,4,2,2,9,10,5,5,fc421adcf78fdf0e76bfc0da677f66718269b3f180477387d7f71062defc1430,4isxumw0f4,0,198,0,10
"The Ways of Coping",0,pre_study,1605279033986,46.28,NULL,"Accepting responsibility: 6
Confrontive Coping: 6
Distancing: 7
Escape-Avoidance: 4
Positive reappraisal: 9
Planful problem-solving: 8
Seeking social support: 10
Self-controlling: 5
",70,6,6,7,4,8,9,10,5,819c1e93dc6559f5e502f6a65763533ddb5373b536d1c9c91da87df540f270e7,xf7e9o5h35,2837489,198,0,10
"The Ways of Coping",1,pre_study,1605293355754,5.5587333333333335,NULL,"Accepting responsibility: 7
Confrontive Coping: 11
Distancing: 11
Escape-Avoidance: 4
Positive reappraisal: 5
Planful problem-solving: 15
Seeking social support: 14
Self-controlling: 8
",108,7,11,11,4,15,5,14,8,1851f3e0dd94095ad5c2f365edc808c8cf3f03d73f1e029ee2673f6a32ba667c,q4c1opirrg,0,198,0,10
"The Ways of Coping",0,pre_study,1605306354621,13.33575,NULL,"Accepting responsibility: 8
Confrontive Coping: 9
Distancing: 5
Escape-Avoidance: 15
Positive reappraisal: 8
Planful problem-solving: 8
Seeking social support: 7
Self-controlling: 7
",92,8,9,5,15,8,8,7,7,add388295668b739d766eaa06c4a15aed2ee96387a1256ea93126783ce00b37d,vt6dsg4avx,0,198,0,10
"The Ways of Coping",0,pre_study,1605349917157,6.705266666666667,NULL,"Accepting responsibility: 5
Confrontive Coping: 9
Distancing: 4
Escape-Avoidance: 3
Positive reappraisal: 11
Planful problem-solving: 15
Seeking social support: 11
Self-controlling: 9
",90,5,9,4,3,15,11,11,9,3985833b0a5e2a41253befdad3022eb729762297c89d817d48456bb807a0e51e,a3evpj06hu,0,198,0,10
"The Ways of Coping",0,pre_study,1605350673963,5.47135,NULL,"Accepting responsibility: 5
Confrontive Coping: 10
Distancing: 13
Escape-Avoidance: 13
Positive reappraisal: 0
Planful problem-solving: 0
Seeking social support: 10
Self-controlling: 7
",85,5,10,13,13,0,0,10,7,0094f56774a0befc12649a00d5d2644aecc16e7585183efaface821bc472882a,lco896bx2f,8511,198,0,10
"The Ways of Coping",0,pre_study,1605353690518,6.54795,NULL,"Accepting responsibility: 5
Confrontive Coping: 11
Distancing: 9
Escape-Avoidance: 11
Positive reappraisal: 11
Planful problem-solving: 11
Seeking social support: 10
Self-controlling: 9
",108,5,11,9,11,11,11,10,9,299a888e9b87ff9b94c0b9e0ec3f5e131653667b0c9c7c50a9f853a09b56c2da,ae68jwptq5,0,198,0,10
"The Ways of Coping",0,pre_study,1605353580522,8.567516666666666,NULL,"Accepting responsibility: 3
Confrontive Coping: 5
Distancing: 0
Escape-Avoidance: 18
Positive reappraisal: 6
Planful problem-solving: 2
Seeking social support: 3
Self-controlling: 9
",63,3,5,0,18,2,6,3,9,42d737f38b570d1b0b9916cd7d221aa9bf81fd8f1ab1f42e544939e1d811ad4d,tpebxfjipv,252785,198,0,10
"The Ways of Coping",0,pre_study,1605357216824,10.194783333333334,NULL,"Accepting responsibility: 3
Confrontive Coping: 6
Distancing: 2
Escape-Avoidance: 6
Positive reappraisal: 5
Planful problem-solving: 4
Seeking social support: 4
Self-controlling: 8
",54,3,6,2,6,4,5,4,8,48c62c1371a62765b0d3bd643075b40915b9f8c4fcb071838bd44d193aa1e834,g81dbg8f69,31165,198,0,10
"The Ways of Coping",0,pre_study,1605357881715,6.197916666666667,NULL,"Accepting responsibility: 2
Confrontive Coping: 10
Distancing: 8
Escape-Avoidance: 7
Positive reappraisal: 2
Planful problem-solving: 11
Seeking social support: 8
Self-controlling: 6
",80,2,10,8,7,11,2,8,6,410be7ff8921dd002a2405116b08da7e18bc5206b7d384c5e55e1b9628ca794a,p0ypfb9w0g,0,198,0,10
"The Ways of Coping",0,pre_study,1605359000410,5.1757,NULL,"Accepting responsibility: 0
Confrontive Coping: 3
Distancing: 5
Escape-Avoidance: 3
Positive reappraisal: 4
Planful problem-solving: 9
Seeking social support: 5
Self-controlling: 2
",42,0,3,5,3,9,4,5,2,5afa1d86c92faa1c37fd28efcb69628627db72cc64a6d8a1536d3c81e63c74d9,aqgnv6nusi,0,198,0,10
"The Ways of Coping",0,pre_study,1605360027389,8.485533333333333,NULL,"Accepting responsibility: 1
Confrontive Coping: 2
Distancing: 2
Escape-Avoidance: 4
Positive reappraisal: 4
Planful problem-solving: 7
Seeking social support: 11
Self-controlling: 4
",47,1,2,2,4,7,4,11,4,36ff05474cb3244fea990cb949a6b3b404ec1dd6f1c52d81c06adfe60d475d71,6fzwwvpmsr,0,198,0,10
"The Ways of Coping",0,pre_study,1605363234626,6.298533333333333,NULL,"Accepting responsibility: 11
Confrontive Coping: 11
Distancing: 5
Escape-Avoidance: 14
Positive reappraisal: 14
Planful problem-solving: 17
Seeking social support: 14
Self-controlling: 12
",134,11,11,5,14,17,14,14,12,64f4cef6e4ffcebcc23b200f0c47aaa7440e33ee79c3532e2475c648b7e07bd3,36o8dl5guq,0,198,0,10
"The Ways of Coping",0,pre_study,1605365103539,4.6125,NULL,"Accepting responsibility: 3
Confrontive Coping: 6
Distancing: 6
Escape-Avoidance: 11
Positive reappraisal: 13
Planful problem-solving: 11
Seeking social support: 12
Self-controlling: 8
",98,3,6,6,11,11,13,12,8,cddb3366880994e96c008b82c543044f476f63da4a7dd049b393c8f2f7983c58,tarmtp4ijf,0,198,0,10
"The Ways of Coping",0,pre_study,1605368982777,6.822333333333333,NULL,"Accepting responsibility: 3
Confrontive Coping: 3
Distancing: 2
Escape-Avoidance: 7
Positive reappraisal: 4
Planful problem-solving: 6
Seeking social support: 14
Self-controlling: 7
",70,3,3,2,7,6,4,14,7,77a6be9708556b502bbd17ac84c654d4be9c823c21b648a5e4a60c287bc8f96b,p35k8rr8ll,0,198,0,10
"The Ways of Coping",0,pre_study,1605373067233,6.54305,NULL,"Accepting responsibility: 3
Confrontive Coping: 3
Distancing: 4
Escape-Avoidance: 6
Positive reappraisal: 0
Planful problem-solving: 1
Seeking social support: 0
Self-controlling: 3
",29,3,3,4,6,1,0,0,3,60382253b6a367b9a6edb6195a02f39f0f340b7a91011c3f6cd36597ce5ad857,a83670a154,0,198,0,10
